routeid_date,cluster,anomaly_label,anomaly_score,cluster_mean_diff,peak_ratio,comment_ko
CJB270012200_2024-01-12,0.0,1.0,-0.5125900454473976,0.6374066632803245,0.0990990990990991,정상 또는 경미한 편차
CJB270012200_2024-01-13,1.0,1.0,-0.5202312587078818,0.8842801930003029,0.11320754716981132,정상 또는 경미한 편차
CJB270012200_2024-01-14,4.0,1.0,-0.5126252569622325,1.0373242628167711,0.10909090909090909,정상 또는 경미한 편차
CJB270012200_2024-01-15,3.0,1.0,-0.5332005147568635,0.4476180798554728,0.08849557522123894,정상 또는 경미한 편차
CJB270012200_2024-01-16,2.0,1.0,-0.5376828256370159,0.5262814851921926,0.10185185185185185,정상 또는 경미한 편차
CJB270012200_2024-01-17,7.0,1.0,-0.5411412586144146,0.5128287049207509,0.09821428571428571,정상 또는 경미한 편차
CJB270012200_2024-01-18,7.0,1.0,-0.5221431033238499,0.4780765600076729,0.09259259259259259,정상 또는 경미한 편차
CJB270012200_2024-01-19,6.0,1.0,-0.4758887096106067,0.4002364421822864,0.08695652173913043,정상 또는 경미한 편차
CJB270012200_2024-01-20,4.0,1.0,-0.5172490557910105,0.6726326824130139,0.1111111111111111,정상 또는 경미한 편차
CJB270012200_2024-01-21,4.0,1.0,-0.539734232181976,0.7913429294579322,0.11764705882352941,정상 또는 경미한 편차
CJB270012200_2024-01-22,7.0,1.0,-0.4959510963228443,0.3625826795823424,0.09565217391304348,정상 또는 경미한 편차
CJB270012200_2024-01-23,3.0,1.0,-0.5075020349706483,0.41029052880154576,0.08653846153846154,정상 또는 경미한 편차
CJB270012200_2024-01-24,0.0,1.0,-0.4967446162456581,0.7225931559950594,0.102803738317757,정상 또는 경미한 편차
CJB270012200_2024-01-25,0.0,1.0,-0.5182890030321687,0.5930218412786868,0.09565217391304348,정상 또는 경미한 편차
CJB270012200_2024-01-26,2.0,1.0,-0.46599432474496194,0.374222380382255,0.09375,정상 또는 경미한 편차
CJB270012200_2024-01-27,4.0,1.0,-0.5384802209157525,1.0509767334115716,0.12244897959183673,정상 또는 경미한 편차
CJB270012200_2024-01-28,4.0,-1.0,-0.580877855089093,1.181847050284116,0.10344827586206896,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
